Date,X_1,X_2,Y_1,Y_2,Z_1,Z_2
2021-11-01,2248122.91211917,0.00104708949243118,865686.864439232,0.000933757019208862,5886425.9819637,0.00190616169280647
2021-11-02,2248122.91831068,0.00173172982183559,865686.868907853,0.00198867335199792,5886425.98593146,0.0026234366597865
2021-11-03,2248122.91600195,0.000922785844865827,865686.867641952,0.000800308056036765,5886425.98414802,0.00184307475667073
2021-11-04,2248122.91407826,0.00184942331935039,865686.866088142,0.00182432223368526,5886425.98310197,0.0029988514172788
2021-11-05,2248122.91352127,0.00100210602439686,865686.865334784,0.000909035490997318,5886425.98198119,0.00196411801756899
2021-11-06,2248122.91398264,0.00123815870847833,865686.864066152,0.00129898610642199,5886425.98351664,0.00218740482888648
2021-11-07,2248122.91709762,0.000825144963960014,865686.863638943,0.000724800396624452,5886425.98192528,0.00168335354257666
2021-11-08,2248122.9175894,0.000894843068550485,865686.863242103,0.000802208932138062,5886425.98357468,0.00177865996624363
2021-11-09,2248122.91621961,0.000942143734861387,865686.865159393,0.000814339864697066,5886425.97977903,0.00183360260806469
2021-11-10,2248122.91629312,0.000932706019164561,865686.864852378,0.000854494498083958,5886425.97951792,0.00176222536938781
2021-11-11,2248122.91595485,0.000801990195934417,865686.863706111,0.000667026364055045,5886425.98223067,0.00156337047093363
2021-11-12,2248122.91659581,0.000846562944302498,865686.864641784,0.000755303173874077,5886425.97772756,0.00161998504701657
2021-11-13,2248122.91772,0.00082793279420687,865686.865650858,0.000717478358517448,5886425.97799455,0.0016304642641644
2021-11-14,2248122.9171477,0.000914913378330366,865686.865044829,0.000833808517506335,5886425.97610183,0.00171367020775552
2021-11-15,2248122.91704384,0.000924874216538014,865686.864950048,0.000799612975537691,5886425.97530842,0.00178323931300153
2021-11-16,2248122.91647677,0.00153213697079713,865686.862511551,0.00136823528503738,5886425.97779168,0.00232696737276459
2021-11-17,2248122.91973526,0.00108692602764224,865686.863594676,0.00103702499864303,5886425.98467831,0.00187482231135182
2021-11-18,2248122.91562035,0.000821875864510566,865686.86404929,0.000694874506393717,5886425.98218557,0.00160010438376275
2021-11-19,2248122.91902983,0.000816274005116455,865686.865814729,0.000679519688990501,5886425.99398609,0.00158066020289482
2021-11-20,2248122.91687962,0.000999569587226353,865686.866007873,0.000907489453762168,5886425.9930842,0.00190367769466607
2021-11-21,2248122.9133724,0.0012767423532487,865686.866822204,0.00122914984583588,5886425.98598897,0.00206186778749978
2021-11-22,2248122.9158503,0.000938903262308817,865686.866650401,0.000867302002449679,5886425.98282447,0.00175453177224348
2021-11-23,2248122.91620777,0.00101379176075374,865686.867558513,0.000918937423706215,5886425.98354835,0.00186952083942714
2021-11-24,2248122.91875083,0.000789841335788869,865686.867492153,0.000677022045464605,5886425.98816905,0.00155203694844672
2021-11-25,2248122.91849281,0.000825118306595359,865686.868959554,0.000696944329612212,5886425.98849368,0.00155809401058037
2021-11-26,2248122.91693348,0.000752399185644179,865686.868402548,0.000630375063822164,5886425.98765487,0.00152525530960942
2021-11-27,2248122.91685553,0.000809207945505404,865686.868758903,0.000695002425302227,5886425.98809627,0.00156641796253669
2021-11-28,2248122.9167644,0.000952938722382842,865686.868980055,0.000879304902896498,5886425.98664357,0.00182558402056215
2021-11-29,2248122.91816426,0.00105767507632077,865686.867955559,0.00101386897219801,5886425.98935543,0.00194060529696008
